Timestamp,PC,Type,Address,Delta_with_1_last_read,Delta_with_1_last_write,Delta_with_2_last_read,Delta_with_2_last_write,Delta_with_3_last_read,Delta_with_3_last_write,Delta_with_1_next_read,Delta_with_1_next_write,Delta_with_2_next_read,Delta_with_2_next_write,Delta_with_3_next_read,Delta_with_3_next_write
217,0x563ec8e021a3,W,0x563ed47fb320,-45903938764840,-45903938764872,194995024,-45903938764824,-45903938764840,-45903938764840,45903938764872,8,45903938764856,-24,45903938764872,45903938764840
219,0x563ec8e021a5,R,0x7ffeac767368,32,45903938764872,0,48,32,32,-16,-45903938764864,-16,-16,0,-32
221,0x563ec8e021a9,W,0x563ed47fb328,-45903938764864,8,-45903938764864,-45903938764864,194995032,-45903938764832,45903938764848,-32,45903938764864,45903938764848,45903938764832,45903938764832
223,0x563ec8e021b1,R,0x7ffeac767358,-16,45903938764848,16,-16,45904133759880,32,0,-45903938764880,16,0,-16,-16
226,0x563ec8e021b8,R,0x7ffeac767358,0,45903938764848,16,45903938764856,-16,32,16,-45903938764880,-16,0,-16,-32
228,0x563ec8e021bc,R,0x7ffeac767368,16,45903938764864,0,45903938764872,0,0,0,-45903938764896,-32,-32,-45904133759896,-48
230,0x563ec8e021c0,W,0x563ed47fb308,-45903938764896,-32,-45903938764880,-24,-45903938764864,-45903938764896,45903938764896,45903938764880,45903938764864,45903938764864,-194995000,45903938764896
233,0x563ec8e021ce,R,0x7ffeac767368,0,45903938764896,16,45903938764872,0,0,-32,-16,-32,-48,0,0
235,0x563ec8e021d2,W,0x7ffeac767358,-16,45903938764880,0,45903938764848,0,-16,-16,-16,-45904133759880,-32,16,-45903938764824
237,0x563ec8e021d6,R,0x7ffeac767348,-32,-16,-32,45903938764832,-16,45903938764840,0,0,-45904133759864,32,0,-45903938764808
238,0x563ec8e021d6,W,0x7ffeac767348,0,-16,-32,45903938764864,-16,45903938764840,0,-16,32,32,0,-45903938764800
240,0x563ec8e021da,R,0x7ffeac767348,0,0,-32,45903938764864,-16,45903938764832,-45904133759864,-16,32,-45903938764808,32,-45903938764800
244,0x563ec8e02193,W,0x7ffeac767338,-16,-16,-48,-32,-48,45903938764816,-45904133759848,48,16,-45903938764792,48,-45903938764816
247,0x563ec8e02074,R,0x563ec8e04fd0,-45904133759864,-45904133759848,-45904133759864,-45904133759880,-45904133759896,-194995000,45904133759896,45904133759896,45904133759864,194995064,45904133759880,194995032
249,0x563ec8e02198,W,0x7ffeac767368,45904133759896,48,32,32,0,45903938764896,0,-45903938764840,0,-45903938764832,-16,-45903938764864
251,0x563ec8e0219c,R,0x7ffeac767368,45904133759896,0,32,32,0,16,-32,-45903938764840,-16,-45903938764832,-16,-16
253,0x563ec8e021a0,R,0x7ffeac767348,-32,-32,0,16,0,-16,32,-45903938764808,16,-45903938764832,32,16
255,0x563ec8e021a3,W,0x563ed47fb340,-45903938764808,-45903938764840,194995056,-45903938764792,-45903938764808,-45903938764808,45903938764840,8,45903938764824,-24,45903938764840,45903938764808
257,0x563ec8e021a5,R,0x7ffeac767368,32,45903938764840,0,48,32,32,-16,-45903938764832,-16,-16,0,-32
259,0x563ec8e021a9,W,0x563ed47fb348,-45903938764832,8,-45903938764832,-45903938764832,194995064,-45903938764800,45903938764816,-32,45903938764832,45903938764816,45903938764800,45903938764800
261,0x563ec8e021b1,R,0x7ffeac767358,-16,45903938764816,16,-16,45904133759880,32,0,-45903938764848,16,0,-16,-16
264,0x563ec8e021b8,R,0x7ffeac767358,0,45903938764816,16,45903938764824,-16,32,16,-45903938764848,-16,0,-16,-32
