Timestamp,PC,Type,Address,pattern_type,Delta_with_1_last_read,Delta_with_1_last_write,Delta_with_2_last_read,Delta_with_2_last_write,Delta_with_3_last_read,Delta_with_3_last_write,Delta_with_4_last_read,Delta_with_4_last_write,Delta_with_5_last_read,Delta_with_5_last_write,Delta_with_6_last_read,Delta_with_6_last_write,Delta_with_7_last_read,Delta_with_7_last_write,Delta_with_8_last_read,Delta_with_8_last_write,Delta_with_1_next_read,Delta_with_1_next_write,Delta_with_2_next_read,Delta_with_2_next_write,Delta_with_3_next_read,Delta_with_3_next_write,Delta_with_4_next_read,Delta_with_4_next_write,Delta_with_5_next_read,Delta_with_5_next_write,Delta_with_6_next_read,Delta_with_6_next_write,Delta_with_7_next_read,Delta_with_7_next_write,Delta_with_8_next_read,Delta_with_8_next_write
246,0x55b359b912a1,R,0x7ffc88cfa56c,1,0,0,4,1608,0,0,0,1612,4,0,0,0,0,1620,0,1624,0,-1604,0,-1600,20,0,0,0,0,-1592,-4,0,0,-1588,0,0
248,0x55b359b912a4,W,0x7ffc88cf9f28,1,-1604,-1604,-1624,4,-1604,-1604,-1604,8,-1624,-1604,-1604,12,-1604,16,-1604,-1604,1604,1604,1600,4,1624,8,1604,1604,1604,12,1624,1604,1604,16,1604,1604
250,0x55b359b912a7,R,0x7ffc88cfa56c,1,0,1604,0,1608,4,0,0,1612,0,0,4,1616,0,0,0,0,0,0,-4,0,0,-1596,0,0,-4,-1592,0,0,0,-1588,0,-1584
251,0x55b359b912a7,W,0x7ffc88cfa56c,1,0,1604,0,0,-20,0,0,1612,0,0,-20,1616,0,0,0,1620,0,-1600,20,0,0,-1596,0,0,20,-1592,0,0,0,0,-4,-1584
253,0x55b359b912ab,R,0x7ffc88cfa56c,1,0,0,0,0,-20,1608,4,1612,0,0,0,1616,4,0,0,1620,-4,-1600,0,0,0,-1596,-4,0,0,-1592,0,-1588,0,0,-4,0
255,0x55b359b912ae,R,0x7ffc88cfa568,1,-4,-4,-4,1600,-4,1604,0,-4,-4,-4,-4,1612,-24,-4,-4,1616,24,-1596,4,4,4,-1592,24,4,4,4,4,-1584,4,-1580,24,4
258,0x55b359b91297,R,0x7ffc88cfa580,1,24,20,20,1624,20,20,0,20,20,1632,20,1636,20,20,24,1640,-20,-1620,-20,-20,-24,-1616,0,-1612,-20,-20,-20,-20,-24,-1604,-20,-20
260,0x55b359b9129b,R,0x7ffc88cfa56c,1,-20,0,0,1604,0,0,-20,1608,4,1612,0,0,0,0,-20,1620,0,-1600,0,0,-4,0,0,-1592,0,-1588,0,0,20,-1584,0,0
263,0x55b359b912a1,R,0x7ffc88cfa56c,1,0,0,4,1604,0,0,0,1608,4,0,0,0,0,1616,0,1620,0,-1600,0,-1596,20,0,0,0,0,-1588,-4,0,0,-1584,0,0
265,0x55b359b912a4,W,0x7ffc88cf9f2c,1,-1600,-1600,-1620,4,-1600,-1600,-1600,8,-1620,-1600,-1600,12,-1600,16,-1600,-1600,1600,1600,1596,4,1620,8,1600,1600,1600,12,1620,1600,1600,16,1600,1600
267,0x55b359b912a7,R,0x7ffc88cfa56c,1,0,1600,0,1604,4,0,0,1608,0,0,4,1612,0,0,0,0,0,0,-4,0,0,-1592,0,0,-4,-1588,0,0,0,-1584,0,-1580
268,0x55b359b912a7,W,0x7ffc88cfa56c,1,0,1600,0,0,-20,0,0,1608,0,0,-20,1612,0,0,0,1616,0,-1596,20,0,0,-1592,0,0,20,-1588,0,0,0,0,-4,-1580
270,0x55b359b912ab,R,0x7ffc88cfa56c,1,0,0,0,0,-20,1604,4,1608,0,0,0,1612,4,0,0,1616,-4,-1596,0,0,0,-1592,-4,0,0,-1588,0,-1584,0,0,-4,0
272,0x55b359b912ae,R,0x7ffc88cfa568,1,-4,-4,-4,1596,-4,1600,0,-4,-4,-4,-4,1608,-24,-4,-4,1612,24,-1592,4,4,4,-1588,24,4,4,4,4,-1580,4,-1576,24,4
275,0x55b359b91297,R,0x7ffc88cfa580,1,24,20,20,1620,20,20,0,20,20,1628,20,1632,20,20,24,1636,-20,-1616,-20,-20,-24,-1612,0,-1608,-20,-20,-20,-20,-24,-1600,-20,-20
277,0x55b359b9129b,R,0x7ffc88cfa56c,1,-20,0,0,1600,0,0,-20,1604,4,1608,0,0,0,0,-20,1616,0,-1596,0,0,-4,0,0,-1588,0,-1584,0,0,20,-1580,0,0
280,0x55b359b912a1,R,0x7ffc88cfa56c,1,0,0,4,1600,0,0,0,1604,4,0,0,0,0,1612,0,1616,0,-1596,0,-1592,20,0,0,0,0,-1584,-4,0,0,-1580,0,0
282,0x55b359b912a4,W,0x7ffc88cf9f30,1,-1596,-1596,-1616,4,-1596,-1596,-1596,8,-1616,-1596,-1596,12,-1596,16,-1596,-1596,1596,1596,1592,4,1616,8,1596,1596,1596,12,1616,1596,1596,16,1596,1596
284,0x55b359b912a7,R,0x7ffc88cfa56c,1,0,1596,0,1600,4,0,0,1604,0,0,4,1608,0,0,0,0,0,0,-4,0,0,-1588,0,0,-4,-1584,0,0,0,-1580,0,-1576
285,0x55b359b912a7,W,0x7ffc88cfa56c,1,0,1596,0,0,-20,0,0,1604,0,0,-20,1608,0,0,0,1612,0,-1592,20,0,0,-1588,0,0,20,-1584,0,0,0,0,-4,-1576
